"zip","zcta"
95309,95327
95310,95310
95311,95311
95312,95312
95313,95313
95314,95314
95315,95315
95316,95316
95317,95317
95318,95318
95319,95319
95320,95320
95321,95321
95322,95322
95323,95323
95324,95324
95325,95325
95326,95326
95327,95327
95328,95328
95329,95329
95330,95330
95333,95333
95334,95334
95335,95335
95336,95336
95337,95337
95338,95338
95340,95340
95341,95341
95343,95340
95344,95340
95345,95345
95346,95346
95347,95321
95348,95348
95350,95350
95351,95351
95352,95350
95353,95354
95354,95354
95355,95355
95356,95356
95357,95357
95358,95358
95360,95360
95361,95361
95363,95363
95364,95364
95365,95365
95366,95366
95367,95367
95368,95368
95369,95369
95370,95370
95372,95372
95373,95370
95374,95374
95375,95375
95376,95376
95377,95377
95378,95376
95379,95379
95380,95380
95381,95380
95382,95382
95383,95383
95385,95385
95386,95386
95387,95387
95388,95388
95389,95389
95391,95391
95397,95350
95401,95401
95402,95404
95403,95403
95404,95404
95405,95405
95406,95401
95407,95407
95409,95409
95410,95410
95412,95412
95415,95415
95416,95476
95417,95417
95418,95482
95419,95472
95420,95420
95421,95421
95422,95422
95423,95423
95424,95422
95425,95425
95426,95426
95427,95427
95428,95428
95429,95429
95430,95430
95431,95431
95432,95432
95433,95476
95435,95435
95436,95436
95437,95437
95439,95439
95441,95441
95442,95442
95443,95443
95444,95444
95445,95445
95446,95446
95448,95448
95449,95449
95450,95450
95451,95451
95452,95452
95453,95453
95454,95454
95456,95456
95457,95457
95458,95458
95459,95459
95460,95460
95461,95461
95462,95462
95463,95463
95464,95464
95465,95465
95466,95466
95467,95467
95468,95468
95469,95469
95470,95470
95471,95471
95472,95472
95473,95472
95476,95476
95480,95421
95481,95482
95482,95482
95485,95485
95486,95486
95487,95476
95488,95488
95490,95490
95492,95492
95493,95493
95494,95494
95497,95497
95501,95501
95502,95501
95503,95503
95511,95511
95514,95514
95518,95521
95519,95519
95521,95521
95524,95524
95525,95525
95526,95526
95527,95527
95528,95528
95531,95531
95532,95531
95534,95503
95536,95536
95537,95537
95538,95531
95540,95540
95542,95542
95543,95543
95545,95545
95546,95546
95547,95547
95548,95548
95549,95549
95550,95550
95551,95551
95552,95552
95553,95553
95554,95554
95555,95555
95556,95556
95558,95558
95559,95559
95560,95560
95562,95562
95563,95563
95564,95564
95565,95565
95567,95567
95568,95568
95569,95569
95570,95570
95571,95571
95573,95573
95585,95585
95587,95587
95589,95589
95595,95595
95601,95601
95602,95602
95603,95603
95604,95604
95605,95605
95606,95606
95607,95607
95608,95608
95609,95608
95610,95610
95611,95621
95612,95612
95613,95667
95614,95614
95615,95615
95616,95616
95617,95618
95618,95618
95619,95619
95620,95620
95621,95621
95623,95623
95624,95624
95625,95625
95626,95626
95627,95627
95628,95628
95629,95629
95630,95630
95631,95631
95632,95632
95633,95633
95634,95634
95635,95635
95636,95636
95637,95637
95638,95638
95639,95639
95640,95640
95641,95641
95642,95642
95644,95666
95645,95645
95646,95646
95648,95648
95650,95650
95651,95651
95652,95652
95653,95653
95654,95642
95655,95655
95656,95684
95658,95658
95659,95659
95660,95660
95661,95661
95662,95662
95663,95663
95664,95664
95665,95665
95666,95666
95667,95667
95668,95668
95669,95669
95670,95670
95671,95673
95672,95672
95673,95673
95674,95674
95675,95675
95676,95645
95677,95677
95678,95678
95679,95679
95680,95680
95681,95681
95682,95682
95683,95683
95684,95684
95685,95685
95686,95686
95687,95687
95688,95688
95689,95689
95690,95690
95691,95691
95692,95692
95693,95693
95694,95694
95695,95695
