"providerid","residentnum","residency","residencygu"
51310,0,FALSE,FALSE
51311,1,TRUE,FALSE
51312,0,FALSE,FALSE
51313,0,FALSE,FALSE
51314,0,FALSE,FALSE
51315,0,FALSE,FALSE
51316,0,FALSE,FALSE
51317,0,FALSE,FALSE
51318,1,TRUE,FALSE
51319,1,TRUE,FALSE
51320,0,FALSE,FALSE
51321,0,FALSE,FALSE
51323,0,FALSE,FALSE
51324,0,FALSE,FALSE
51325,0,FALSE,FALSE
51326,0,FALSE,FALSE
51327,0,FALSE,FALSE
51328,0,FALSE,FALSE
51329,0,FALSE,FALSE
51330,0,FALSE,FALSE
51331,0,FALSE,FALSE
51332,0,FALSE,FALSE
51500,0,FALSE,FALSE
51501,0,FALSE,FALSE
51502,0,FALSE,FALSE
51503,0,FALSE,FALSE
51504,0,FALSE,FALSE
51505,0,FALSE,FALSE
51506,0,FALSE,FALSE
51507,0,FALSE,FALSE
51508,0,FALSE,FALSE
51509,0,FALSE,FALSE
51510,0,FALSE,FALSE
51511,0,FALSE,FALSE
51512,0,FALSE,FALSE
51513,0,FALSE,FALSE
51514,0,FALSE,FALSE
51515,0,FALSE,FALSE
51516,0,FALSE,FALSE
51517,0,FALSE,FALSE
51518,0,FALSE,FALSE
51519,0,FALSE,FALSE
51520,0,FALSE,FALSE
51521,0,FALSE,FALSE
51522,0,FALSE,FALSE
51523,0,FALSE,FALSE
51524,0,FALSE,FALSE
51525,0,FALSE,FALSE
51526,0,FALSE,FALSE
51527,0,FALSE,FALSE
51528,0,FALSE,FALSE
51529,0,FALSE,FALSE
51530,0,FALSE,FALSE
51531,0,FALSE,FALSE
51532,0,FALSE,FALSE
51533,0,FALSE,FALSE
51534,0,FALSE,FALSE
51535,0,FALSE,FALSE
51536,0,FALSE,FALSE
51537,0,FALSE,FALSE
51538,0,FALSE,FALSE
51539,0,FALSE,FALSE
51540,0,FALSE,FALSE
51541,0,FALSE,FALSE
51542,0,FALSE,FALSE
51543,0,FALSE,FALSE
51544,0,FALSE,FALSE
51545,0,FALSE,FALSE
51546,0,FALSE,FALSE
51547,0,FALSE,FALSE
51548,0,FALSE,FALSE
51549,0,FALSE,FALSE
51550,0,FALSE,FALSE
51551,0,FALSE,FALSE
51552,0,FALSE,FALSE
51553,0,FALSE,FALSE
51554,0,FALSE,FALSE
51555,0,FALSE,FALSE
51556,0,FALSE,FALSE
51557,0,FALSE,FALSE
51558,0,FALSE,FALSE
51559,0,FALSE,FALSE
51560,0,FALSE,FALSE
51561,0,FALSE,FALSE
51562,0,FALSE,FALSE
51563,0,FALSE,FALSE
51564,0,FALSE,FALSE
51565,0,FALSE,FALSE
51566,0,FALSE,FALSE
51567,0,FALSE,FALSE
51568,0,FALSE,FALSE
51569,0,FALSE,FALSE
51570,0,FALSE,FALSE
51571,0,FALSE,FALSE
51572,0,FALSE,FALSE
51573,0,FALSE,FALSE
51574,0,FALSE,FALSE
51575,0,FALSE,FALSE
51576,0,FALSE,FALSE
51578,0,FALSE,FALSE
51579,0,FALSE,FALSE
51580,0,FALSE,FALSE
51581,0,FALSE,FALSE
51582,0,FALSE,FALSE
51583,0,FALSE,FALSE
51585,0,FALSE,FALSE
51586,0,FALSE,FALSE
51587,0,FALSE,FALSE
51588,0,FALSE,FALSE
51589,0,FALSE,FALSE
51590,0,FALSE,FALSE
51591,0,FALSE,FALSE
51592,0,FALSE,FALSE
51593,0,FALSE,FALSE
51594,0,FALSE,FALSE
51595,0,FALSE,FALSE
51596,0,FALSE,FALSE
51597,0,FALSE,FALSE
51598,0,FALSE,FALSE
51600,0,FALSE,FALSE
51601,0,FALSE,FALSE
51602,0,FALSE,FALSE
51603,0,FALSE,FALSE
51604,0,FALSE,FALSE
51606,0,FALSE,FALSE
51607,0,FALSE,FALSE
